ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-20 16:00:00,28.14807038991189,49.72599926679491,107.56737994304822,28.14807038991189,28.14807038991189,52.52335052319667,52.52335052319667,52.52335052319667,48.72409080672595,48.72409080672595,48.72409080672595,3.7992597164707185,3.7992597164707185,3.7992597164707185,0.0,0.0,0.0,80.67142091310856
2018-08-20 17:00:00,28.15122943301235,30.065269847480625,91.44786874330161,28.15122943301235,28.15122943301235,34.00740565500533,34.00740565500533,34.00740565500533,29.968644674032532,29.968644674032532,29.968644674032532,4.03876098097279,4.03876098097279,4.03876098097279,0.0,0.0,0.0,62.158635088017675
2018-08-20 18:00:00,28.154388476112807,7.223675201551747,65.05900324658667,28.154388476112807,28.154388476112807,10.291097311780133,10.291097311780133,10.291097311780133,6.049187804894505,6.049187804894505,6.049187804894505,4.2419095068856265,4.2419095068856265,4.2419095068856265,0.0,0.0,0.0,38.44548578789294
2018-08-20 19:00:00,28.157547519213274,0.0,54.855724139976275,28.157547519213274,28.157547519213274,-4.928990281649188,-4.928990281649188,-4.928990281649188,-9.338102778386645,-9.338102778386645,-9.338102778386645,4.409112496737456,4.409112496737456,4.409112496737456,0.0,0.0,0.0,23.228557237564086
2018-08-20 20:00:00,28.160706562313734,0.0,50.889215742240836,28.160706562313734,28.160706562313734,-6.817026762098039,-6.817026762098039,-6.817026762098039,-11.358130728638654,-11.358130728638654,-11.358130728638654,4.541103966540617,4.541103966540617,4.541103966540617,0.0,0.0,0.0,21.343679800215696
2018-08-20 21:00:00,28.16386560541419,0.0,59.14229605435406,28.16386560541419,28.16386560541419,-0.4943465217115504,-0.4943465217115504,-0.4943465217115504,-5.133273914873778,-5.133273914873778,-5.133273914873778,4.638927393162227,4.638927393162227,4.638927393162227,0.0,0.0,0.0,27.669519083702642
2018-08-20 22:00:00,28.16702464851466,5.166153612601749,64.12273866594369,28.16702464851466,28.16702464851466,5.8591651313417366,5.8591651313417366,5.8591651313417366,1.1552498873420247,1.1552498873420247,1.1552498873420247,4.7039152439997105,4.7039152439997105,4.7039152439997105,0.0,0.0,0.0,34.026189779856395
2018-08-20 23:00:00,28.17018369161512,7.012756849919544,65.42849330281001,28.17018369161512,28.17018369161512,8.456451033670888,8.456451033670888,8.456451033670888,3.7187853571591827,3.7187853571591827,3.7187853571591827,4.737665676511705,4.737665676511705,4.737665676511705,0.0,0.0,0.0,36.62663472528601
2018-08-21 00:00:00,28.173342734715575,8.13521715070826,65.52979495039621,28.173342734715575,28.173342734715575,9.140273260064319,9.140273260064319,9.140273260064319,4.398256533491318,4.398256533491318,4.398256533491318,4.742016726573,4.742016726573,4.742016726573,0.0,0.0,0.0,37.313615994779894
2018-08-21 01:00:00,28.176501777816036,9.517047960070032,69.23363109351261,28.176501777816036,28.176501777816036,10.628065054781317,10.628065054781317,10.628065054781317,5.909046723767934,5.909046723767934,5.909046723767934,4.719018331013383,4.719018331013383,4.719018331013383,0.0,0.0,0.0,38.80456683259735
2018-08-21 02:00:00,28.179660820916496,10.338985062454617,70.44735392040364,28.179660820916496,28.179660820916496,11.930996127870483,11.930996127870483,11.930996127870483,7.260093575226474,7.260093575226474,7.260093575226474,4.670902552644009,4.670902552644009,4.670902552644009,0.0,0.0,0.0,40.11065694878698
2018-08-21 03:00:00,28.18281986401696,7.3252900429640695,67.65373617677622,28.18281986401696,28.18281986401696,9.170215333084672,9.170215333084672,9.170215333084672,4.570162939431951,4.570162939431951,4.570162939431951,4.60005239365272,4.60005239365272,4.60005239365272,0.0,0.0,0.0,37.35303519710163
2018-08-21 04:00:00,28.18597890711742,0.0,56.646808211653834,28.18597890711742,28.18597890711742,0.6200168862518564,0.6200168862518564,0.6200168862518564,-3.8889527098243417,-3.8889527098243417,-3.8889527098243417,4.508969596076198,4.508969596076198,4.508969596076198,0.0,0.0,0.0,28.805995793369277
2018-08-21 05:00:00,28.18913795021788,0.0,47.67039371587253,28.18913795021788,28.18913795021788,-10.056913545282356,-10.056913545282356,-10.056913545282356,-14.457155381484798,-14.457155381484798,-14.457155381484798,4.400241836202444,4.400241836202444,4.400241836202444,0.0,0.0,0.0,18.132224404935524
2018-08-21 06:00:00,28.192296993318344,0.0,40.976226855744905,28.192296993318344,28.192296993318344,-16.555502529651353,-16.555502529651353,-16.555502529651353,-20.83201225149258,-20.83201225149258,-20.83201225149258,4.276509721841225,4.276509721841225,4.276509721841225,0.0,0.0,0.0,11.636794463666991
2018-08-21 07:00:00,28.195456036418804,0.0,40.09340879477617,28.195456036418804,28.195456036418804,-16.206228209922884,-16.206228209922884,-16.206228209922884,-20.34666220986871,-20.34666220986871,-20.34666220986871,4.140433999945828,4.140433999945828,4.140433999945828,0.0,0.0,0.0,11.98922782649592
2018-08-21 08:00:00,28.198615079519264,0.0,45.00918190267291,28.198615079519264,28.198615079519264,-13.034201393522448,-13.034201393522448,-13.034201393522448,-17.02886476718029,-17.02886476718029,-17.02886476718029,3.9946633736578456,3.9946633736578456,3.9946633736578456,0.0,0.0,0.0,15.164413685996816
2018-08-21 09:00:00,28.201774122619728,0.0,42.41175012080913,28.201774122619728,28.201774122619728,-13.693502350105435,-13.693502350105435,-13.693502350105435,-17.535305666321396,-17.535305666321396,-17.535305666321396,3.841803316215961,3.841803316215961,3.841803316215961,0.0,0.0,0.0,14.508271772514293
2018-08-21 10:00:00,28.20493316572019,0.0,38.52297616350583,28.20493316572019,28.20493316572019,-19.778327035182233,-19.778327035182233,-19.778327035182233,-23.4627132868252,-23.4627132868252,-23.4627132868252,3.6843862516429624,3.6843862516429624,3.6843862516429624,0.0,0.0,0.0,8.426606130537955
2018-08-21 11:00:00,28.20809220882065,0.0,32.50108667786662,28.20809220882065,28.20809220882065,-24.408723548968766,-24.408723548968766,-24.408723548968766,-27.933566999437556,-27.933566999437556,-27.933566999437556,3.524843450468789,3.524843450468789,3.524843450468789,0.0,0.0,0.0,3.7993686598518828
2018-08-21 12:00:00,28.21125125192111,0.0,40.503327715515596,28.21125125192111,28.21125125192111,-17.48092017180844,-17.48092017180844,-17.48092017180844,-20.846399135010557,-20.846399135010557,-20.846399135010557,3.3654789632021194,3.3654789632021194,3.3654789632021194,0.0,0.0,0.0,10.73033108011267
2018-08-21 13:00:00,28.214410295021572,4.240122390481446,63.09358546953066,28.214410295021572,28.214410295021572,4.456489452216964,4.456489452216964,4.456489452216964,1.2480435681218522,1.2480435681218522,1.2480435681218522,3.2084458840951102,3.2084458840951102,3.2084458840951102,0.0,0.0,0.0,32.670899747238536
2018-08-21 14:00:00,28.217569338122033,30.02656782928352,91.393643596656,28.217569338122033,28.217569338122033,32.88591947549655,32.88591947549655,32.88591947549655,29.830194270613585,29.830194270613585,29.830194270613585,3.0557252048829717,3.0557252048829717,3.0557252048829717,0.0,0.0,0.0,61.10348881361858
2018-08-21 15:00:00,28.220728381222493,49.70209195472644,110.80774222159644,28.22072448226941,28.220728381222493,52.23849117273534,52.23849117273534,52.23849117273534,49.32938369110607,49.32938369110607,49.32938369110607,2.909107481629272,2.909107481629272,2.909107481629272,0.0,0.0,0.0,80.45921955395784
2018-08-21 16:00:00,28.223887424322957,47.193888412946684,108.28099138968965,28.223855779678296,28.223887424322957,51.494268306239476,51.494268306239476,51.494268306239476,48.72409080669013,48.72409080669013,48.72409080669013,2.770177499549347,2.770177499549347,2.770177499549347,0.0,0.0,0.0,79.71815573056243
2018-08-21 17:00:00,28.227046467423417,29.003322252409873,89.91954109921444,28.22700782725617,28.227046467423417,32.60894675246841,32.60894675246841,32.60894675246841,29.968644673480373,29.968644673480373,29.968644673480373,2.640302078988042,2.640302078988042,2.640302078988042,0.0,0.0,0.0,60.83599321989183
2018-08-21 18:00:00,28.230205510523877,7.063437196667406,68.72811631515697,28.230147761117948,28.230205510523877,8.569808928509962,8.569808928509962,8.569808928509962,6.049187804367949,6.049187804367949,6.049187804367949,2.520621124142015,2.520621124142015,2.520621124142015,0.0,0.0,0.0,36.80001443903384
2018-08-21 19:00:00,28.23336455362434,0.0,48.23908488201507,28.233278542814478,28.23338459099221,-6.926060806089686,-6.926060806089686,-6.926060806089686,-9.338102778615927,-9.338102778615927,-9.338102778615927,2.4120419725262394,2.4120419725262394,2.4120419725262394,0.0,0.0,0.0,21.307303747534654
2018-08-21 20:00:00,28.2365235967248,0.0,49.2767605881596,28.236401325556304,28.236568717661125,-9.04289366937327,-9.04289366937327,-9.04289366937327,-11.358130728531693,-11.358130728531693,-11.358130728531693,2.3152370591584224,2.3152370591584224,2.3152370591584224,0.0,0.0,0.0,19.19362992735153
2018-08-21 21:00:00,28.23968263982526,0.0,56.681688938307225,28.239539368218196,28.23973082816873,-2.9026290489957933,-2.9026290489957933,-2.9026290489957933,-5.133273915227698,-5.133273915227698,-5.133273915227698,2.2306448662319043,2.2306448662319043,2.2306448662319043,0.0,0.0,0.0,25.33705359082947
