charger_id,name,lat,lon,city,state,operator,source
481505,Regenta Resort Belagavi,15.752744488741397,74.41115324455757,Belagavi,Karnataka ,Unknown,OpenChargeMap
481504,Bellad Hyundai,15.463065888347815,74.9774624557773,Dharwad,Karnataka ,Unknown,OpenChargeMap
481503,Big Mishra Pedha Hubli-Dharwad Highway,15.394478733061298,75.00854070119784,Hubballi,Karnataka ,Unknown,OpenChargeMap
481502,Manickbag Automobiles,15.369551854899184,75.11909436764411,Hubballi,Karnataka ,Unknown,OpenChargeMap
481501,Hotel Punjab Junction,15.184936484038705,75.13612460192677,Agadi,Karnataka ,Unknown,OpenChargeMap
481500,Paakashala @ Chitradurga,14.248879279136355,76.42599146668157,Chitradurga,Karnataka ,Unknown,OpenChargeMap
481499,Sri Kamadenu Veg Restaurant,13.61215890500984,76.95345953343492,Karijevnahalli,Karnataka ,Unknown,OpenChargeMap
481498,Shell Recharge Sus Road,18.551668484658936,73.76101557363096,Pune,Maharashtra ,Unknown,OpenChargeMap
481497,B4S Baner,18.5534199309817,73.77066239419024,Pune,Maharashtra ,Unknown,OpenChargeMap
481496,"Crystal Kia, Baner",18.557345771328887,73.77053982274862,Pune,Maharashtra ,Unknown,OpenChargeMap
481495,Aditya School,18.56124353052958,73.7812056950576,Pune,Maharashtra ,Unknown,OpenChargeMap
481494,Amar Business Zone,18.56414082731241,73.77645742740673,Pune,Maharashtra ,Unknown,OpenChargeMap
481493,Balewadi Charge Park,18.57893575826883,73.76250206523362,Pune,Maharashtra ,Unknown,OpenChargeMap
481492,Gaurav Icon Tower,18.59629964353062,73.75599935970514,Pune,Maharashtra ,Unknown,OpenChargeMap
481491,MG Motor B.U. Bhandari Showroom,18.599012307937844,73.75415702984328,Pune,Maharashtra ,Unknown,OpenChargeMap
481489,Hotel Sayaji Wakad,18.599090985407713,73.75190356008125,Pune,Maharashtra ,Unknown,OpenChargeMap
481488,Garve Hyundai,18.59991835206595,73.7537161148497,Pune,Maharashtra ,Unknown,OpenChargeMap
480935,Shell Tathawade,18.61358685499954,73.74883334321919,Pune,Maharashtra ,Unknown,OpenChargeMap
480934,"Burger King, Tathawade",18.61652961025573,73.74773834178781,Pune,Maharashtra,Unknown,OpenChargeMap
480933,Tata Motors Tathawade,18.623488205362765,73.74548104644525,Pune,Maharashtra ,Unknown,OpenChargeMap
480932,Sai Darbar Hotel,18.623896266954958,73.74563734187849,Pune,Maharashtra ,Unknown,OpenChargeMap
